unidade;ano;mes;grupo;subgrupo;exames
CSSFE;2024;9;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;2
CSSFE;2024;10;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;2293
CSSFE;2024;10;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;17
CSSFE;2024;10;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;615
CSSFE;2024;10;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;33
CSSFE;2024;10;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;2
CSSFE;2024;11;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;1809
CSSFE;2024;11;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;24
CSSFE;2024;11;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;936
CSSFE;2024;11;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;33
CSSFE;2024;12;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;904
CSSFE;2024;12;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;6
CSSFE;2024;12;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;575
CSSFE;2024;12;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;24
CSSFE;2025;1;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;1168
CSSFE;2025;1;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;9
CSSFE;2025;1;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;585
CSSFE;2025;2;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;1050
CSSFE;2025;2;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;4
CSSFE;2025;2;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;384
CSSFE;2025;2;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;2
CSSI;2023;8;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;1
CSSI;2023;9;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;289
CSSI;2023;9;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;22
CSSI;2023;9;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;323
CSSI;2023;9;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;14
CSSI;2023;10;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;2460
CSSI;2023;10;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;231
CSSI;2023;10;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;1892
CSSI;2023;10;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;216
CSSI;2023;11;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;2553
CSSI;2023;11;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;259
CSSI;2023;11;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;1128
